"consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","path rank 4","selected","shared interaction","shared name","source_genesymbol","sources","target_genesymbol"
"1","0","1","interacts with","1","0","1","COMPLEX:P27986_P42336 (interacts with) O00329","135","false","interacts with","COMPLEX:P27986_P42336 (interacts with) O00329","PIK3CA_PIK3R1","SIGNOR","PIK3CD"
"1","0","1","interacts with","1","0","1","P12931 (interacts with) P40763","27","false","interacts with","P12931 (interacts with) P40763","SRC","Adhesome;BEL-Large-Corpus_ProtMapper;CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP","STAT3"
"1","0","1","interacts with","1","0","1","P12931 (interacts with) P01116","19","false","interacts with","P12931 (interacts with) P01116","SRC","KEGG-MEDICUS;PhosphoSite;PhosphoSite_noref;SIGNOR;Wang","KRAS"
"1","0","1","interacts with","1","0","1","Q05655 (interacts with) P45983","295","false","interacts with","Q05655 (interacts with) P45983","PRKCD","KEA;Kinexus_KEA;SIGNOR;iPTMnet","MAPK8"
"0","0","0","interacts with","1","1","1","Q06124 (interacts with) O60674","158","false","interacts with","Q06124 (interacts with) O60674","PTPN11","DEPOD;HPRD;NetPath;ProtMapper;REACH_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang","JAK2"
"1","0","1","interacts with","1","0","1","P28223 (interacts with) P63096","386","false","interacts with","P28223 (interacts with) P63096","HTR2A","HPRD;SIGNOR","GNAI1"
"1","0","1","interacts with","1","0","1","Q05655 (interacts with) P42224","294","false","interacts with","Q05655 (interacts with) P42224","PRKCD","BEL-Large-Corpus_ProtMapper;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;MIMP;Macrophage;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP","STAT1"
"1","0","1","interacts with","1","0","1","P31749 (interacts with) P23443","261","false","interacts with","P31749 (interacts with) P23443","AKT1","BEL-Large-Corpus_ProtMapper;BioGRID;HPRD;KEGG-MEDICUS;Lit-BM-17;PhosphoPoint;ProtMapper;SignaLink3;Wang","RPS6KB1"
"0","0","0","interacts with","1","0","1","P12931 (interacts with) P17252","23","false","interacts with","P12931 (interacts with) P17252","SRC","Adhesome;HPRD;SIGNOR;Wang","PRKCA"
"1","1","0","interacts with","1","1","0","Q9UQL6 (interacts with) Q06413","491","false","interacts with","Q9UQL6 (interacts with) Q06413","HDAC5","HPRD;SIGNOR","MEF2C"
"1","0","1","interacts with","1","0","1","P42336 (interacts with) O15530","150","false","interacts with","P42336 (interacts with) O15530","PIK3CA","Adhesome;Wang","PDPK1"
"1","1","0","interacts with","1","1","0","Q9UQL6 (interacts with) Q14814","492","false","interacts with","Q9UQL6 (interacts with) Q14814","HDAC5","HPRD;SIGNOR","MEF2D"
"1","1","0","interacts with","1","1","0","P41743 (interacts with) P29474","269","false","interacts with","P41743 (interacts with) P29474","PRKCI","ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet","NOS3"
"1","0","1","interacts with","1","0","1","P01112 (interacts with) P45983","216","false","interacts with","P01112 (interacts with) P45983","HRAS","Adhesome;DIP;HPRD;Wang","MAPK8"
"1","0","1","interacts with","1","1","1","P28562 (interacts with) P27361","60","false","interacts with","P28562 (interacts with) P27361","DUSP1","DEPOD;HPRD;InnateDB;IntAct;Lit-BM-17;NCI-PID_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SignaLink3;Wang","MAPK3"
"1","0","1","interacts with","1","0","1","P08581 (interacts with) Q13480","104","false","interacts with","P08581 (interacts with) Q13480","MET","BEL-Large-Corpus_ProtMapper;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;KEGG-MEDICUS;Kinexus_KEA;Li2012;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP","GAB1"
