"gene_symbol","name","node_type","selected","shared name"
"GRM1","Q13255","protein","false","Q13255"
"TRPC1","P48995","protein","false","P48995"
"PRKG1","Q13976","protein","false","Q13976"
"TRPC3","Q13507","protein","false","Q13507"
"TRPC6","Q9Y210","protein","false","Q9Y210"
"TRPC7","Q9HCX4","protein","false","Q9HCX4"
"PRKACA","P17612","protein","true","P17612"
"TRPV1","Q8NER1","protein","false","Q8NER1"
"SRC","P12931","protein","true","P12931"
"OS9","Q13438","protein","false","Q13438"
"TRPV4","Q9HBA0","protein","false","Q9HBA0"
"KL","Q9UEF7","protein","false","Q9UEF7"
"TRPV5","Q9NQA5","protein","false","Q9NQA5"
"RAB11A","P62491","protein","false","P62491"
"PTPN1","P18031","protein","false","P18031"
"TRPV6","Q9H1D0","protein","false","Q9H1D0"
"RACK1","P63244","protein","false","P63244"
"TRPM6","Q9BX84","protein","false","Q9BX84"
"MCOLN1","Q9GZU1","protein","false","Q9GZU1"
"MAPK14","Q16539","protein","false","Q16539"
"MAPKAPK2","P49137","protein","false","P49137"
"HNRNPA0","Q13151","protein","false","Q13151"
"PARN","O95453","protein","false","O95453"
"JAK2","O60674","protein","true","O60674"
"EPOR","P19235","protein","false","P19235"
"NUMB","P49757","protein","false","P49757"
"NOTCH1","P46531","protein","false","P46531"
"ZFP36","P26651","protein","false","P26651"
"JAG2","Q9Y219","protein","false","Q9Y219"
"DLL1","O00548","protein","false","O00548"
"AKT1","P31749","protein","true","P31749"
"CHUK","O15111","protein","false","O15111"
"NFKB1","P19838","protein","true","P19838"
"CDK1","P06493","protein","false","P06493"
"RRM2","P31350","protein","false","P31350"
"CASP3","P42574","protein","false","P42574"
"ACIN1","Q9UKV3","protein","false","Q9UKV3"
"CDKN1A","P38936","protein","false","P38936"
"TERF2","Q15554","protein","false","Q15554"
"ATM","Q13315","protein","false","Q13315"
"ATR","Q13535","protein","false","Q13535"
"XPA","P23025","protein","false","P23025"
"IGF1","P05019","protein","true","P05019"
"IGF1R","P08069","protein","true","P08069"
"MMP14","P50281","protein","false","P50281"
"MMP2","P08253","protein","false","P08253"
"ABL1","P00519","protein","false","P00519"
"TP73","O15350","protein","false","O15350"
"PRKN","O60260","protein","false","O60260"
"SEPTIN5","Q99719","protein","false","Q99719"
"USP7","Q93009","protein","false","Q93009"
"MDM2","Q00987","protein","false","Q00987"
"MDM4","O15151","protein","false","O15151"
"MDC1","Q14676","protein","false","Q14676"
"RNF8","O76064","protein","false","O76064"
"RANBP2","P49792","protein","false","P49792"
"SNCAIP","Q9Y6H5","protein","false","Q9Y6H5"
"SNCA","P37840","protein","false","P37840"
"BACE1","P56817","protein","false","P56817"
"APP","P05067","protein","false","P05067"
"PTEN","P60484","protein","false","P60484"
"PREX2","Q70Z35","protein","false","Q70Z35"
"PTPRD","P23468","protein","false","P23468"
"STAT3","P40763","protein","true","P40763"
"PEBP1","P30086","protein","false","P30086"
"RAF1","P04049","protein","true","P04049"
"FBXW7","Q969H0","protein","false","Q969H0"
"MYC","P01106","protein","false","P01106"
"PAK1","Q13153","protein","false","Q13153"
"PXN","P49023","protein","false","P49023"
"GSN","P06396","protein","false","P06396"
"SMG1","Q96Q15","protein","false","Q96Q15"
"UPF1","Q92900","protein","false","Q92900"
"MAPK8","P45983","protein","false","P45983"
"MAP2K4","P45985","protein","false","P45985"
"ULK1","O75385","protein","false","O75385"
"ATG13","O75143","protein","false","O75143"
"RB1CC1","Q8TDY2","protein","false","Q8TDY2"
"MTOR","P42345","protein","false","P42345"
"SH3GLB1","Q9Y371","protein","false","Q9Y371"
"UVRAG","Q9P2Y5","protein","false","Q9P2Y5"
"ULK2","Q8IYT8","protein","false","Q8IYT8"
"TIAM1","Q13009","protein","false","Q13009"
"RAC1","P63000","protein","true","P63000"
"HRAS","P01112","protein","true","P01112"
"ATG10","Q9H0Y0","protein","false","Q9H0Y0"
"ATG12","O94817","protein","false","O94817"
"RPTOR","Q8N122","protein","false","Q8N122"
"AKT1S1","Q96B36","protein","false","Q96B36"
"DAPK1","P53355","protein","false","P53355"
"CAMKK2","Q96RR4","protein","false","Q96RR4"
"MLST8","Q9BVC4","protein","false","Q9BVC4"
"BECN1","Q14457","protein","false","Q14457"
