		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	
					buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	buspirone	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_buspirone_anxiety__children males	Fishers Exact Test_pValue_buspirone_anxiety__young adult males	Fishers Exact Test_pValue_buspirone_anxiety__adult males	Fishers Exact Test_pValue_buspirone_anxiety__elderly males	Fishers Exact Test_pValue_buspirone_anxiety__age unspecified males	Fishers Exact Test_pValue_buspirone_anxiety__children females	Fishers Exact Test_pValue_buspirone_anxiety__young adult females	Fishers Exact Test_pValue_buspirone_anxiety__adult females	Fishers Exact Test_pValue_buspirone_anxiety__elderly females	Fishers Exact Test_pValue_buspirone_anxiety__age unspecified females	Fishers Exact Test_pValue_buspirone_anxiety__children gender unspecified	Fishers Exact Test_pValue_buspirone_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_buspirone_anxiety__adults gender unspecified	Fishers Exact Test_pValue_buspirone_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_buspirone_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_buspirone_anxiety__children all	Fishers Exact Test_pValue_buspirone_anxiety__young adults all	Fishers Exact Test_pValue_buspirone_anxiety__adults all	Fishers Exact Test_pValue_buspirone_anxiety__elderly all	Fishers Exact Test_pValue_buspirone_anxiety__age unspecified all	Fishers Exact Test_pValue_buspirone_anxiety__males all	Fishers Exact Test_pValue_buspirone_anxiety__females all	Fishers Exact Test_pValue_buspirone_anxiety__gender unspecified all	Fishers Exact Test_pValue_buspirone_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_anxiety__all	Absolute Counts_buspirone_anxiety__children males	Absolute Counts_buspirone_anxiety__young adult males	Absolute Counts_buspirone_anxiety__adult males	Absolute Counts_buspirone_anxiety__elderly males	Absolute Counts_buspirone_anxiety__age unspecified males	Absolute Counts_buspirone_anxiety__children females	Absolute Counts_buspirone_anxiety__young adult females	Absolute Counts_buspirone_anxiety__adult females	Absolute Counts_buspirone_anxiety__elderly females	Absolute Counts_buspirone_anxiety__age unspecified females	Absolute Counts_buspirone_anxiety__children gender unspecified	Absolute Counts_buspirone_anxiety__young adults gender unspecified	Absolute Counts_buspirone_anxiety__adults gender unspecified	Absolute Counts_buspirone_anxiety__elderly gender unspecified	Absolute Counts_buspirone_anxiety__age unspecified gender unspecified	Absolute Counts_buspirone_anxiety__children all	Absolute Counts_buspirone_anxiety__young adults all	Absolute Counts_buspirone_anxiety__adults all	Absolute Counts_buspirone_anxiety__elderly all	Absolute Counts_buspirone_anxiety__age unspecified all	Absolute Counts_buspirone_anxiety__males all	Absolute Counts_buspirone_anxiety__females all	Absolute Counts_buspirone_anxiety__gender unspecified all	Absolute Counts_buspirone_anxiety__all	
			Unique Patients		57	126	1,361	385	425	44	253	2,881	788	952	2	3	14	4	352	103	382	4,256	1,177	1,729	2,354	4,918	375	7,647	57	126	1,361	385	425	44	253	2,881	788	952	2	3	14	4	352	103	382	4,256	1,177	1,729	2,354	4,918	375	7,647	57	126	1,361	385	425	44	253	2,881	788	952	2	3	14	4	352	103	382	4,256	1,177	1,729	2,354	4,918	375	7,647	
1	24	buspirone	cardiac failure	83,978			8.00522E-01	5.95472E-01	7.25090E-01			6.50247E-01	2.48933E-01	7.28985E-01					2.22696E-01			1.00000E00	1.19356E-01	8.24075E-01	1.27186E-01	2.18665E-01	2.74079E-01	5.96622E-02			8.00522E-01	5.95472E-01	7.25090E-01			6.50247E-01	2.48933E-01	7.28985E-01					2.22696E-01			1.00000E00	1.19356E-01	1.00000E00	2.54371E-01	3.84441E-01	2.74079E-01	2.38649E-01			3	2	1			6	2	1					2			9	4	4	6	9	2	17	
2			left ventricular hypertrophy	5,694			1.31708E-04		1.22436E-01													5.08936E-03		1.00000E00	5.45371E-04			3.07665E-01			5.26833E-04		2.44873E-01													2.03574E-02		1.00000E00	2.18148E-03			4.78800E-01			7		2													7		2	9			9	
3			ventricular hypertrophy	4,300			1.54147E-02			2.66234E-01										4.66325E-01		1.10049E-01			2.42244E-01	3.84441E-01		1.00000E00			3.08295E-02			2.66234E-01										4.66325E-01		2.20098E-01			2.75099E-01	3.84441E-01		1.00000E00			5			1										1		5			5	1		6	
4			cardiac hypertrophy	1,287			2.37242E-01															2.65811E-01			2.75099E-01			3.59100E-01			3.16322E-01															3.54414E-01			2.75099E-01			4.78800E-01			1															1			1			1	
