		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	
					doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	doxorubicin	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_doxorubicin_anxiety__children males	Fishers Exact Test_pValue_doxorubicin_anxiety__young adult males	Fishers Exact Test_pValue_doxorubicin_anxiety__adult males	Fishers Exact Test_pValue_doxorubicin_anxiety__elderly males	Fishers Exact Test_pValue_doxorubicin_anxiety__age unspecified males	Fishers Exact Test_pValue_doxorubicin_anxiety__children females	Fishers Exact Test_pValue_doxorubicin_anxiety__young adult females	Fishers Exact Test_pValue_doxorubicin_anxiety__adult females	Fishers Exact Test_pValue_doxorubicin_anxiety__elderly females	Fishers Exact Test_pValue_doxorubicin_anxiety__age unspecified females	Fishers Exact Test_pValue_doxorubicin_anxiety__children gender unspecified	Fishers Exact Test_pValue_doxorubicin_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_doxorubicin_anxiety__adults gender unspecified	Fishers Exact Test_pValue_doxorubicin_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_doxorubicin_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_doxorubicin_anxiety__children all	Fishers Exact Test_pValue_doxorubicin_anxiety__young adults all	Fishers Exact Test_pValue_doxorubicin_anxiety__adults all	Fishers Exact Test_pValue_doxorubicin_anxiety__elderly all	Fishers Exact Test_pValue_doxorubicin_anxiety__age unspecified all	Fishers Exact Test_pValue_doxorubicin_anxiety__males all	Fishers Exact Test_pValue_doxorubicin_anxiety__females all	Fishers Exact Test_pValue_doxorubicin_anxiety__gender unspecified all	Fishers Exact Test_pValue_doxorubicin_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_anxiety__all	Absolute Counts_doxorubicin_anxiety__children males	Absolute Counts_doxorubicin_anxiety__young adult males	Absolute Counts_doxorubicin_anxiety__adult males	Absolute Counts_doxorubicin_anxiety__elderly males	Absolute Counts_doxorubicin_anxiety__age unspecified males	Absolute Counts_doxorubicin_anxiety__children females	Absolute Counts_doxorubicin_anxiety__young adult females	Absolute Counts_doxorubicin_anxiety__adult females	Absolute Counts_doxorubicin_anxiety__elderly females	Absolute Counts_doxorubicin_anxiety__age unspecified females	Absolute Counts_doxorubicin_anxiety__children gender unspecified	Absolute Counts_doxorubicin_anxiety__young adults gender unspecified	Absolute Counts_doxorubicin_anxiety__adults gender unspecified	Absolute Counts_doxorubicin_anxiety__elderly gender unspecified	Absolute Counts_doxorubicin_anxiety__age unspecified gender unspecified	Absolute Counts_doxorubicin_anxiety__children all	Absolute Counts_doxorubicin_anxiety__young adults all	Absolute Counts_doxorubicin_anxiety__adults all	Absolute Counts_doxorubicin_anxiety__elderly all	Absolute Counts_doxorubicin_anxiety__age unspecified all	Absolute Counts_doxorubicin_anxiety__males all	Absolute Counts_doxorubicin_anxiety__females all	Absolute Counts_doxorubicin_anxiety__gender unspecified all	Absolute Counts_doxorubicin_anxiety__all	
			Unique Patients		8	2	82	117	5	23	3	391	165	42	0	0	0	0	40	31	5	473	282	87	214	624	40	878	8	2	82	117	5	23	3	391	165	42	0	0	0	0	40	31	5	473	282	87	214	624	40	878	8	2	82	117	5	23	3	391	165	42	0	0	0	0	40	31	5	473	282	87	214	624	40	878	
1	24	doxorubicin	cardiac failure	83,978				1.00000E00					2.76191E-01						9.63832E-02				4.69849E-01	2.37688E-01	1.00000E00	7.00190E-01	1.04007E-01	5.53917E-01				1.00000E00					2.76191E-01						9.63832E-02				4.69849E-01	2.37688E-01	1.00000E00	7.00190E-01	1.04007E-01	5.53917E-01				1					2						1				3	1	1	2	1	4	
