		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	
					escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	escitalopram	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_escitalopram_anxiety__children males	Fishers Exact Test_pValue_escitalopram_anxiety__young adult males	Fishers Exact Test_pValue_escitalopram_anxiety__adult males	Fishers Exact Test_pValue_escitalopram_anxiety__elderly males	Fishers Exact Test_pValue_escitalopram_anxiety__age unspecified males	Fishers Exact Test_pValue_escitalopram_anxiety__children females	Fishers Exact Test_pValue_escitalopram_anxiety__young adult females	Fishers Exact Test_pValue_escitalopram_anxiety__adult females	Fishers Exact Test_pValue_escitalopram_anxiety__elderly females	Fishers Exact Test_pValue_escitalopram_anxiety__age unspecified females	Fishers Exact Test_pValue_escitalopram_anxiety__children gender unspecified	Fishers Exact Test_pValue_escitalopram_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_escitalopram_anxiety__adults gender unspecified	Fishers Exact Test_pValue_escitalopram_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_escitalopram_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_escitalopram_anxiety__children all	Fishers Exact Test_pValue_escitalopram_anxiety__young adults all	Fishers Exact Test_pValue_escitalopram_anxiety__adults all	Fishers Exact Test_pValue_escitalopram_anxiety__elderly all	Fishers Exact Test_pValue_escitalopram_anxiety__age unspecified all	Fishers Exact Test_pValue_escitalopram_anxiety__males all	Fishers Exact Test_pValue_escitalopram_anxiety__females all	Fishers Exact Test_pValue_escitalopram_anxiety__gender unspecified all	Fishers Exact Test_pValue_escitalopram_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_anxiety__all	Absolute Counts_escitalopram_anxiety__children males	Absolute Counts_escitalopram_anxiety__young adult males	Absolute Counts_escitalopram_anxiety__adult males	Absolute Counts_escitalopram_anxiety__elderly males	Absolute Counts_escitalopram_anxiety__age unspecified males	Absolute Counts_escitalopram_anxiety__children females	Absolute Counts_escitalopram_anxiety__young adult females	Absolute Counts_escitalopram_anxiety__adult females	Absolute Counts_escitalopram_anxiety__elderly females	Absolute Counts_escitalopram_anxiety__age unspecified females	Absolute Counts_escitalopram_anxiety__children gender unspecified	Absolute Counts_escitalopram_anxiety__young adults gender unspecified	Absolute Counts_escitalopram_anxiety__adults gender unspecified	Absolute Counts_escitalopram_anxiety__elderly gender unspecified	Absolute Counts_escitalopram_anxiety__age unspecified gender unspecified	Absolute Counts_escitalopram_anxiety__children all	Absolute Counts_escitalopram_anxiety__young adults all	Absolute Counts_escitalopram_anxiety__adults all	Absolute Counts_escitalopram_anxiety__elderly all	Absolute Counts_escitalopram_anxiety__age unspecified all	Absolute Counts_escitalopram_anxiety__males all	Absolute Counts_escitalopram_anxiety__females all	Absolute Counts_escitalopram_anxiety__gender unspecified all	Absolute Counts_escitalopram_anxiety__all	
			Unique Patients		193	363	2,864	998	936	166	808	6,850	2,306	2,000	7	7	26	21	921	366	1,178	9,740	3,325	3,858	5,354	12,130	982	18,467	193	363	2,864	998	936	166	808	6,850	2,306	2,000	7	7	26	21	921	366	1,178	9,740	3,325	3,858	5,354	12,130	982	18,467	193	363	2,864	998	936	166	808	6,850	2,306	2,000	7	7	26	21	921	366	1,178	9,740	3,325	3,858	5,354	12,130	982	18,467	
1	24	escitalopram	cardiac failure	83,978		1.11324E-01	3.63444E-01	1.87993E-02	1.37723E-02		3.80200E-01	2.31978E-01	4.89451E-01	6.29288E-01					7.25367E-01		1.01911E-01	7.33034E-01	3.99061E-01	5.46308E-01	8.36081E-01	3.73119E-01	5.16350E-01	3.26908E-01		1.11324E-01	7.26888E-01	1.87993E-02	1.37723E-02		3.80200E-01	4.63957E-01	9.78903E-01	6.29288E-01					7.25367E-01		1.01911E-01	7.33034E-01	7.98123E-01	5.46308E-01	8.36081E-01	3.73119E-01	5.16350E-01	3.26908E-01		2	11	3	10		1	8	17	3					1		3	19	20	14	26	29	1	56	
