		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	
					fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	fluoxetine	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_fluoxetine_anxiety__children males	Fishers Exact Test_pValue_fluoxetine_anxiety__young adult males	Fishers Exact Test_pValue_fluoxetine_anxiety__adult males	Fishers Exact Test_pValue_fluoxetine_anxiety__elderly males	Fishers Exact Test_pValue_fluoxetine_anxiety__age unspecified males	Fishers Exact Test_pValue_fluoxetine_anxiety__children females	Fishers Exact Test_pValue_fluoxetine_anxiety__young adult females	Fishers Exact Test_pValue_fluoxetine_anxiety__adult females	Fishers Exact Test_pValue_fluoxetine_anxiety__elderly females	Fishers Exact Test_pValue_fluoxetine_anxiety__age unspecified females	Fishers Exact Test_pValue_fluoxetine_anxiety__children gender unspecified	Fishers Exact Test_pValue_fluoxetine_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_fluoxetine_anxiety__adults gender unspecified	Fishers Exact Test_pValue_fluoxetine_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_fluoxetine_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_fluoxetine_anxiety__children all	Fishers Exact Test_pValue_fluoxetine_anxiety__young adults all	Fishers Exact Test_pValue_fluoxetine_anxiety__adults all	Fishers Exact Test_pValue_fluoxetine_anxiety__elderly all	Fishers Exact Test_pValue_fluoxetine_anxiety__age unspecified all	Fishers Exact Test_pValue_fluoxetine_anxiety__males all	Fishers Exact Test_pValue_fluoxetine_anxiety__females all	Fishers Exact Test_pValue_fluoxetine_anxiety__gender unspecified all	Fishers Exact Test_pValue_fluoxetine_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_anxiety__all	Absolute Counts_fluoxetine_anxiety__children males	Absolute Counts_fluoxetine_anxiety__young adult males	Absolute Counts_fluoxetine_anxiety__adult males	Absolute Counts_fluoxetine_anxiety__elderly males	Absolute Counts_fluoxetine_anxiety__age unspecified males	Absolute Counts_fluoxetine_anxiety__children females	Absolute Counts_fluoxetine_anxiety__young adult females	Absolute Counts_fluoxetine_anxiety__adult females	Absolute Counts_fluoxetine_anxiety__elderly females	Absolute Counts_fluoxetine_anxiety__age unspecified females	Absolute Counts_fluoxetine_anxiety__children gender unspecified	Absolute Counts_fluoxetine_anxiety__young adults gender unspecified	Absolute Counts_fluoxetine_anxiety__adults gender unspecified	Absolute Counts_fluoxetine_anxiety__elderly gender unspecified	Absolute Counts_fluoxetine_anxiety__age unspecified gender unspecified	Absolute Counts_fluoxetine_anxiety__children all	Absolute Counts_fluoxetine_anxiety__young adults all	Absolute Counts_fluoxetine_anxiety__adults all	Absolute Counts_fluoxetine_anxiety__elderly all	Absolute Counts_fluoxetine_anxiety__age unspecified all	Absolute Counts_fluoxetine_anxiety__males all	Absolute Counts_fluoxetine_anxiety__females all	Absolute Counts_fluoxetine_anxiety__gender unspecified all	Absolute Counts_fluoxetine_anxiety__all	
			Unique Patients		280	597	2,107	470	763	351	825	5,637	1,143	1,732	20	4	35	13	785	651	1,426	7,780	1,626	3,280	4,217	9,688	857	14,763	280	597	2,107	470	763	351	825	5,637	1,143	1,732	20	4	35	13	785	651	1,426	7,780	1,626	3,280	4,217	9,688	857	14,763	280	597	2,107	470	763	351	825	5,637	1,143	1,732	20	4	35	13	785	651	1,426	7,780	1,626	3,280	4,217	9,688	857	14,763	
1	24	fluoxetine	cardiac failure	83,978	1.00000E00	1.00000E00	1.00000E00	6.33521E-01	4.17168E-01			1.00000E00	1.00000E00	6.05357E-01					1.00000E00	1.21104E-01	1.00000E00	9.00103E-01	6.58560E-01	5.16881E-01	4.18835E-01	3.23065E-01	1.00000E00	1.11003E-01	1.00000E00	1.00000E00	1.00000E00	6.33521E-01	8.34336E-01			1.00000E00	1.00000E00	9.08036E-01					1.00000E00	1.76847E-01	1.00000E00	9.00103E-01	6.58560E-01	7.75322E-01	4.18835E-01	4.15026E-01	1.00000E00	1.66505E-01	1	1	6	3	5			10	7	5					2	1	1	16	10	12	16	22	2	40	
