		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	
					paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	paroxetine	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_paroxetine_anxiety__children males	Fishers Exact Test_pValue_paroxetine_anxiety__young adult males	Fishers Exact Test_pValue_paroxetine_anxiety__adult males	Fishers Exact Test_pValue_paroxetine_anxiety__elderly males	Fishers Exact Test_pValue_paroxetine_anxiety__age unspecified males	Fishers Exact Test_pValue_paroxetine_anxiety__children females	Fishers Exact Test_pValue_paroxetine_anxiety__young adult females	Fishers Exact Test_pValue_paroxetine_anxiety__adult females	Fishers Exact Test_pValue_paroxetine_anxiety__elderly females	Fishers Exact Test_pValue_paroxetine_anxiety__age unspecified females	Fishers Exact Test_pValue_paroxetine_anxiety__children gender unspecified	Fishers Exact Test_pValue_paroxetine_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_paroxetine_anxiety__adults gender unspecified	Fishers Exact Test_pValue_paroxetine_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_paroxetine_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_paroxetine_anxiety__children all	Fishers Exact Test_pValue_paroxetine_anxiety__young adults all	Fishers Exact Test_pValue_paroxetine_anxiety__adults all	Fishers Exact Test_pValue_paroxetine_anxiety__elderly all	Fishers Exact Test_pValue_paroxetine_anxiety__age unspecified all	Fishers Exact Test_pValue_paroxetine_anxiety__males all	Fishers Exact Test_pValue_paroxetine_anxiety__females all	Fishers Exact Test_pValue_paroxetine_anxiety__gender unspecified all	Fishers Exact Test_pValue_paroxetine_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_anxiety__all	Absolute Counts_paroxetine_anxiety__children males	Absolute Counts_paroxetine_anxiety__young adult males	Absolute Counts_paroxetine_anxiety__adult males	Absolute Counts_paroxetine_anxiety__elderly males	Absolute Counts_paroxetine_anxiety__age unspecified males	Absolute Counts_paroxetine_anxiety__children females	Absolute Counts_paroxetine_anxiety__young adult females	Absolute Counts_paroxetine_anxiety__adult females	Absolute Counts_paroxetine_anxiety__elderly females	Absolute Counts_paroxetine_anxiety__age unspecified females	Absolute Counts_paroxetine_anxiety__children gender unspecified	Absolute Counts_paroxetine_anxiety__young adults gender unspecified	Absolute Counts_paroxetine_anxiety__adults gender unspecified	Absolute Counts_paroxetine_anxiety__elderly gender unspecified	Absolute Counts_paroxetine_anxiety__age unspecified gender unspecified	Absolute Counts_paroxetine_anxiety__children all	Absolute Counts_paroxetine_anxiety__young adults all	Absolute Counts_paroxetine_anxiety__adults all	Absolute Counts_paroxetine_anxiety__elderly all	Absolute Counts_paroxetine_anxiety__age unspecified all	Absolute Counts_paroxetine_anxiety__males all	Absolute Counts_paroxetine_anxiety__females all	Absolute Counts_paroxetine_anxiety__gender unspecified all	Absolute Counts_paroxetine_anxiety__all	
			Unique Patients		650	364	2,946	740	1,792	490	622	5,752	1,696	2,472	36	3	34	13	706	1,176	989	8,732	2,449	4,970	6,492	11,032	792	18,316	650	364	2,946	740	1,792	490	622	5,752	1,696	2,472	36	3	34	13	706	1,176	989	8,732	2,449	4,970	6,492	11,032	792	18,316	650	364	2,946	740	1,792	490	622	5,752	1,696	2,472	36	3	34	13	706	1,176	989	8,732	2,449	4,970	6,492	11,032	792	18,316	
1			ventricular hypertrophy	4,300	6.02100E-16		2.48837E-01	2.34474E-01	5.74050E-21	5.54548E-09		1.00000E00		2.01753E-23						2.52821E-23		3.62464E-01	5.01729E-01	3.00050E-44	1.65072E-31	1.56974E-27		3.93208E-58	1.80630E-15		3.17945E-01	4.68948E-01	1.72215E-20	1.66364E-08		1.00000E00		6.05259E-23						7.58462E-23		5.43695E-01	5.43464E-01	9.00149E-44	4.95215E-31	4.70923E-27		1.17963E-57	21		5	1	27	15		2		30						36		7	1	57	54	47		101	
