				Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
				pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
				anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02																									
																												anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
				children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																												children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_anxiety__children males	Fishers Exact Test_pValue_anxiety__young adult males	Fishers Exact Test_pValue_anxiety__adult males	Fishers Exact Test_pValue_anxiety__elderly males	Fishers Exact Test_pValue_anxiety__age unspecified males	Fishers Exact Test_pValue_anxiety__children females	Fishers Exact Test_pValue_anxiety__young adult females	Fishers Exact Test_pValue_anxiety__adult females	Fishers Exact Test_pValue_anxiety__elderly females	Fishers Exact Test_pValue_anxiety__age unspecified females	Fishers Exact Test_pValue_anxiety__children gender unspecified	Fishers Exact Test_pValue_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_anxiety__adults gender unspecified	Fishers Exact Test_pValue_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_anxiety__children all	Fishers Exact Test_pValue_anxiety__young adults all	Fishers Exact Test_pValue_anxiety__adults all	Fishers Exact Test_pValue_anxiety__elderly all	Fishers Exact Test_pValue_anxiety__age unspecified all	Fishers Exact Test_pValue_anxiety__males all	Fishers Exact Test_pValue_anxiety__females all	Fishers Exact Test_pValue_anxiety__gender unspecified all	Fishers Exact Test_pValue_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_anxiety__all	Absolute Counts_anxiety__children males	Absolute Counts_anxiety__young adult males	Absolute Counts_anxiety__adult males	Absolute Counts_anxiety__elderly males	Absolute Counts_anxiety__age unspecified males	Absolute Counts_anxiety__children females	Absolute Counts_anxiety__young adult females	Absolute Counts_anxiety__adult females	Absolute Counts_anxiety__elderly females	Absolute Counts_anxiety__age unspecified females	Absolute Counts_anxiety__children gender unspecified	Absolute Counts_anxiety__young adults gender unspecified	Absolute Counts_anxiety__adults gender unspecified	Absolute Counts_anxiety__elderly gender unspecified	Absolute Counts_anxiety__age unspecified gender unspecified	Absolute Counts_anxiety__children all	Absolute Counts_anxiety__young adults all	Absolute Counts_anxiety__adults all	Absolute Counts_anxiety__elderly all	Absolute Counts_anxiety__age unspecified all	Absolute Counts_anxiety__males all	Absolute Counts_anxiety__females all	Absolute Counts_anxiety__gender unspecified all	Absolute Counts_anxiety__all	
		Unique Patients		3,913	4,965	35,867	14,223	15,389	2,589	7,170	75,913	28,930	27,013	130	76	551	275	10,294	6,632	12,211	112,337	43,429	52,697	74,357	141,615	11,326	227,306	3,913	4,965	35,867	14,223	15,389	2,589	7,170	75,913	28,930	27,013	130	76	551	275	10,294	6,632	12,211	112,337	43,429	52,697	74,357	141,615	11,326	227,306	3,913	4,965	35,867	14,223	15,389	2,589	7,170	75,913	28,930	27,013	130	76	551	275	10,294	6,632	12,211	112,337	43,429	52,697	74,357	141,615	11,326	227,306	
1		ventricular hypertrophy	4,300	2.43118E-15		1.00249E-05	8.22058E-01	4.77425E-26	4.75936E-11		1.46270E-03	7.31423E-01	2.14639E-36					4.01242E-01	2.66405E-24		3.73143E-07	7.85480E-01	5.82300E-59	6.34776E-29	3.70132E-24	5.00160E-01	5.30305E-52	7.29354E-15		2.00499E-05	1.00000E00	1.90970E-25	7.13904E-11		2.92541E-03	9.75231E-01	8.58557E-36					4.01242E-01	3.99607E-24		7.46287E-07	7.85480E-01	2.32920E-58	2.53910E-28	7.40264E-24	5.00160E-01	2.12122E-51	22		39	5	32	18		28	7	40					1	40		67	12	73	98	93	1	192	
2		cardiac failure	83,978	1.19765E-02	1.63577E-01	2.15593E-06	5.09015E-01	7.96168E-02	3.52095E-03	1.28148E-02	1.84522E-06	1.44996E-03	9.99999E-01			2.06145E-02		9.45664E-02	2.17976E-04	6.00585E-03	2.05862E-12	4.12142E-04	9.68701E-01	1.06914E-04	9.95911E-08	1.53889E-01	2.21872E-12	1.19765E-02	3.27154E-01	8.62373E-06	1.00000E00	1.06156E-01	3.52095E-03	1.28148E-02	7.38088E-06	5.79985E-03	9.99999E-01			2.06145E-02		2.69224E-01	2.17976E-04	1.20117E-02	8.23450E-12	1.64857E-03	9.68701E-01	1.42551E-04	1.32788E-07	3.60570E-01	2.95830E-12	23	8	105	141	74	20	4	136	181	64			5		26	43	12	246	322	164	351	405	31	787	
