		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	
					sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	sertraline	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_sertraline_anxiety__children males	Fishers Exact Test_pValue_sertraline_anxiety__young adult males	Fishers Exact Test_pValue_sertraline_anxiety__adult males	Fishers Exact Test_pValue_sertraline_anxiety__elderly males	Fishers Exact Test_pValue_sertraline_anxiety__age unspecified males	Fishers Exact Test_pValue_sertraline_anxiety__children females	Fishers Exact Test_pValue_sertraline_anxiety__young adult females	Fishers Exact Test_pValue_sertraline_anxiety__adult females	Fishers Exact Test_pValue_sertraline_anxiety__elderly females	Fishers Exact Test_pValue_sertraline_anxiety__age unspecified females	Fishers Exact Test_pValue_sertraline_anxiety__children gender unspecified	Fishers Exact Test_pValue_sertraline_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_sertraline_anxiety__adults gender unspecified	Fishers Exact Test_pValue_sertraline_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_sertraline_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_sertraline_anxiety__children all	Fishers Exact Test_pValue_sertraline_anxiety__young adults all	Fishers Exact Test_pValue_sertraline_anxiety__adults all	Fishers Exact Test_pValue_sertraline_anxiety__elderly all	Fishers Exact Test_pValue_sertraline_anxiety__age unspecified all	Fishers Exact Test_pValue_sertraline_anxiety__males all	Fishers Exact Test_pValue_sertraline_anxiety__females all	Fishers Exact Test_pValue_sertraline_anxiety__gender unspecified all	Fishers Exact Test_pValue_sertraline_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_anxiety__all	Absolute Counts_sertraline_anxiety__children males	Absolute Counts_sertraline_anxiety__young adult males	Absolute Counts_sertraline_anxiety__adult males	Absolute Counts_sertraline_anxiety__elderly males	Absolute Counts_sertraline_anxiety__age unspecified males	Absolute Counts_sertraline_anxiety__children females	Absolute Counts_sertraline_anxiety__young adult females	Absolute Counts_sertraline_anxiety__adult females	Absolute Counts_sertraline_anxiety__elderly females	Absolute Counts_sertraline_anxiety__age unspecified females	Absolute Counts_sertraline_anxiety__children gender unspecified	Absolute Counts_sertraline_anxiety__young adults gender unspecified	Absolute Counts_sertraline_anxiety__adults gender unspecified	Absolute Counts_sertraline_anxiety__elderly gender unspecified	Absolute Counts_sertraline_anxiety__age unspecified gender unspecified	Absolute Counts_sertraline_anxiety__children all	Absolute Counts_sertraline_anxiety__young adults all	Absolute Counts_sertraline_anxiety__adults all	Absolute Counts_sertraline_anxiety__elderly all	Absolute Counts_sertraline_anxiety__age unspecified all	Absolute Counts_sertraline_anxiety__males all	Absolute Counts_sertraline_anxiety__females all	Absolute Counts_sertraline_anxiety__gender unspecified all	Absolute Counts_sertraline_anxiety__all	
			Unique Patients		843	862	3,773	1,319	1,522	725	1,715	9,648	2,872	3,072	26	13	77	43	1,502	1,594	2,590	13,499	4,234	6,096	8,319	18,032	1,661	28,013	843	862	3,773	1,319	1,522	725	1,715	9,648	2,872	3,072	26	13	77	43	1,502	1,594	2,590	13,499	4,234	6,096	8,319	18,032	1,661	28,013	843	862	3,773	1,319	1,522	725	1,715	9,648	2,872	3,072	26	13	77	43	1,502	1,594	2,590	13,499	4,234	6,096	8,319	18,032	1,661	28,013	
1			left ventricular hypertrophy	5,694	1.00000E00	NaN	7.67040E-01		4.74105E-01	4.74496E-03		3.59879E-01	4.18416E-03	4.05431E-03						1.41950E-02	NaN	1.50428E-01	8.28255E-03	1.84944E-02	4.63838E-01	5.18380E-07		1.29763E-05	1.00000E00	NaN	1.00000E00		7.11158E-01	1.42349E-02		3.59879E-01	1.25525E-02	6.08146E-03						4.25851E-02	NaN	2.45845E-01	2.48476E-02	7.39777E-02	4.63838E-01	1.55514E-06		5.19051E-05	3	2	2		3	18		1	5	11						21	2	3	5	14	10	35		45	
