		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	
					venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	
					anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine																									
																													anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	venlafaxine	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_venlafaxine_anxiety__children males	Fishers Exact Test_pValue_venlafaxine_anxiety__young adult males	Fishers Exact Test_pValue_venlafaxine_anxiety__adult males	Fishers Exact Test_pValue_venlafaxine_anxiety__elderly males	Fishers Exact Test_pValue_venlafaxine_anxiety__age unspecified males	Fishers Exact Test_pValue_venlafaxine_anxiety__children females	Fishers Exact Test_pValue_venlafaxine_anxiety__young adult females	Fishers Exact Test_pValue_venlafaxine_anxiety__adult females	Fishers Exact Test_pValue_venlafaxine_anxiety__elderly females	Fishers Exact Test_pValue_venlafaxine_anxiety__age unspecified females	Fishers Exact Test_pValue_venlafaxine_anxiety__children gender unspecified	Fishers Exact Test_pValue_venlafaxine_anxiety__young adults gender unspecified	Fishers Exact Test_pValue_venlafaxine_anxiety__adults gender unspecified	Fishers Exact Test_pValue_venlafaxine_anxiety__elderly gender unspecified	Fishers Exact Test_pValue_venlafaxine_anxiety__age unspecified gender unspecified	Fishers Exact Test_pValue_venlafaxine_anxiety__children all	Fishers Exact Test_pValue_venlafaxine_anxiety__young adults all	Fishers Exact Test_pValue_venlafaxine_anxiety__adults all	Fishers Exact Test_pValue_venlafaxine_anxiety__elderly all	Fishers Exact Test_pValue_venlafaxine_anxiety__age unspecified all	Fishers Exact Test_pValue_venlafaxine_anxiety__males all	Fishers Exact Test_pValue_venlafaxine_anxiety__females all	Fishers Exact Test_pValue_venlafaxine_anxiety__gender unspecified all	Fishers Exact Test_pValue_venlafaxine_anxiety__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_anxiety__all	Absolute Counts_venlafaxine_anxiety__children males	Absolute Counts_venlafaxine_anxiety__young adult males	Absolute Counts_venlafaxine_anxiety__adult males	Absolute Counts_venlafaxine_anxiety__elderly males	Absolute Counts_venlafaxine_anxiety__age unspecified males	Absolute Counts_venlafaxine_anxiety__children females	Absolute Counts_venlafaxine_anxiety__young adult females	Absolute Counts_venlafaxine_anxiety__adult females	Absolute Counts_venlafaxine_anxiety__elderly females	Absolute Counts_venlafaxine_anxiety__age unspecified females	Absolute Counts_venlafaxine_anxiety__children gender unspecified	Absolute Counts_venlafaxine_anxiety__young adults gender unspecified	Absolute Counts_venlafaxine_anxiety__adults gender unspecified	Absolute Counts_venlafaxine_anxiety__elderly gender unspecified	Absolute Counts_venlafaxine_anxiety__age unspecified gender unspecified	Absolute Counts_venlafaxine_anxiety__children all	Absolute Counts_venlafaxine_anxiety__young adults all	Absolute Counts_venlafaxine_anxiety__adults all	Absolute Counts_venlafaxine_anxiety__elderly all	Absolute Counts_venlafaxine_anxiety__age unspecified all	Absolute Counts_venlafaxine_anxiety__males all	Absolute Counts_venlafaxine_anxiety__females all	Absolute Counts_venlafaxine_anxiety__gender unspecified all	Absolute Counts_venlafaxine_anxiety__all	
			Unique Patients		187	277	2,727	713	806	146	510	7,595	1,807	2,046	5	8	28	13	802	338	795	10,350	2,533	3,654	4,710	12,104	856	17,670	187	277	2,727	713	806	146	510	7,595	1,807	2,046	5	8	28	13	802	338	795	10,350	2,533	3,654	4,710	12,104	856	17,670	187	277	2,727	713	806	146	510	7,595	1,807	2,046	5	8	28	13	802	338	795	10,350	2,533	3,654	4,710	12,104	856	17,670	
1	24	venlafaxine	cardiac failure	83,978	1.00000E00		4.57546E-01	3.28856E-01	1.86498E-01			8.37912E-02	2.17936E-01	9.13220E-02			2.26634E-02			7.24531E-01		4.62603E-02	7.19273E-02	1.07900E-03	1.87901E-01	2.84663E-01	1.00000E00	4.50704E-02	1.00000E00		1.00000E00	3.28856E-01	1.86498E-01			2.51374E-01	2.17936E-01	2.73966E-01			2.26634E-02			7.24531E-01		1.38781E-01	1.43855E-01	3.23701E-03	3.24422E-01	4.26994E-01	1.00000E00	1.35211E-01	1		10	4	1			20	7	1			2			1		32	11	2	16	28	2	46	
2			left ventricular hypertrophy	5,694	1.93724E-01		1.00000E00			1.41748E-01		1.00000E00		7.66957E-01					1.72462E-02	5.12790E-02		8.16618E-01		1.00000E00	1.00000E00	7.35789E-01	1.62571E-02	1.00000E00	3.87449E-01		1.00000E00			1.41748E-01		1.00000E00		7.66957E-01					1.72462E-02	1.02558E-01		8.16618E-01		1.00000E00	1.00000E00	7.35789E-01	3.25142E-02	1.00000E00	2		2			4		2		2					2	6		4		4	4	8	2	14	
3			ventricular hypertrophy	4,300			1.00000E00	2.26777E-01	2.41914E-02			3.57148E-01		3.65915E-01								5.23488E-01	5.13849E-01	6.41358E-01	2.16281E-01	2.38629E-02		3.45390E-01			1.00000E00	3.28856E-01	4.83828E-02			5.35723E-01		5.48873E-01								7.85232E-01	5.13849E-01	9.62036E-01	3.24422E-01	7.15887E-02		5.18085E-01			3	1	5			1		1								4	1	6	9	2		11	
