		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	
					buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone	buspirone																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	buspirone	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_buspirone_depression__children males	Fishers Exact Test_pValue_buspirone_depression__young adult males	Fishers Exact Test_pValue_buspirone_depression__adult males	Fishers Exact Test_pValue_buspirone_depression__elderly males	Fishers Exact Test_pValue_buspirone_depression__age unspecified males	Fishers Exact Test_pValue_buspirone_depression__children females	Fishers Exact Test_pValue_buspirone_depression__young adult females	Fishers Exact Test_pValue_buspirone_depression__adult females	Fishers Exact Test_pValue_buspirone_depression__elderly females	Fishers Exact Test_pValue_buspirone_depression__age unspecified females	Fishers Exact Test_pValue_buspirone_depression__children gender unspecified	Fishers Exact Test_pValue_buspirone_depression__young adults gender unspecified	Fishers Exact Test_pValue_buspirone_depression__adults gender unspecified	Fishers Exact Test_pValue_buspirone_depression__elderly gender unspecified	Fishers Exact Test_pValue_buspirone_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_buspirone_depression__children all	Fishers Exact Test_pValue_buspirone_depression__young adults all	Fishers Exact Test_pValue_buspirone_depression__adults all	Fishers Exact Test_pValue_buspirone_depression__elderly all	Fishers Exact Test_pValue_buspirone_depression__age unspecified all	Fishers Exact Test_pValue_buspirone_depression__males all	Fishers Exact Test_pValue_buspirone_depression__females all	Fishers Exact Test_pValue_buspirone_depression__gender unspecified all	Fishers Exact Test_pValue_buspirone_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_buspirone_depression__all	Absolute Counts_buspirone_depression__children males	Absolute Counts_buspirone_depression__young adult males	Absolute Counts_buspirone_depression__adult males	Absolute Counts_buspirone_depression__elderly males	Absolute Counts_buspirone_depression__age unspecified males	Absolute Counts_buspirone_depression__children females	Absolute Counts_buspirone_depression__young adult females	Absolute Counts_buspirone_depression__adult females	Absolute Counts_buspirone_depression__elderly females	Absolute Counts_buspirone_depression__age unspecified females	Absolute Counts_buspirone_depression__children gender unspecified	Absolute Counts_buspirone_depression__young adults gender unspecified	Absolute Counts_buspirone_depression__adults gender unspecified	Absolute Counts_buspirone_depression__elderly gender unspecified	Absolute Counts_buspirone_depression__age unspecified gender unspecified	Absolute Counts_buspirone_depression__children all	Absolute Counts_buspirone_depression__young adults all	Absolute Counts_buspirone_depression__adults all	Absolute Counts_buspirone_depression__elderly all	Absolute Counts_buspirone_depression__age unspecified all	Absolute Counts_buspirone_depression__males all	Absolute Counts_buspirone_depression__females all	Absolute Counts_buspirone_depression__gender unspecified all	Absolute Counts_buspirone_depression__all	
			Unique Patients:		40	79	1,047	253	319	23	150	2,412	608	740	4	2	13	2	248	67	231	3,472	863	1,307	1,738	3,933	269	5,940	40	79	1,047	253	319	23	150	2,412	608	740	4	2	13	2	248	67	231	3,472	863	1,307	1,738	3,933	269	5,940	40	79	1,047	253	319	23	150	2,412	608	740	4	2	13	2	248	67	231	3,472	863	1,307	1,738	3,933	269	5,940	
1			cardiac failure	88,894			2.51322E-01	4.35691E-01				6.45056E-01	8.13446E-01				4.73504E-02					1.00000E00	5.47664E-01		2.33575E-01	5.83348E-01	1.00000E00	1.77710E-01			2.51322E-01	4.35691E-01				6.45056E-01	8.13446E-01				1.42051E-01					1.00000E00	5.47664E-01		2.50958E-01	7.28572E-01	1.00000E00	2.66565E-01			2	3				6	5				1					9	8		5	11	1	17	
