		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	
					doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin	doxorubicin																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	doxorubicin	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_doxorubicin_depression__children males	Fishers Exact Test_pValue_doxorubicin_depression__young adult males	Fishers Exact Test_pValue_doxorubicin_depression__adult males	Fishers Exact Test_pValue_doxorubicin_depression__elderly males	Fishers Exact Test_pValue_doxorubicin_depression__age unspecified males	Fishers Exact Test_pValue_doxorubicin_depression__children females	Fishers Exact Test_pValue_doxorubicin_depression__young adult females	Fishers Exact Test_pValue_doxorubicin_depression__adult females	Fishers Exact Test_pValue_doxorubicin_depression__elderly females	Fishers Exact Test_pValue_doxorubicin_depression__age unspecified females	Fishers Exact Test_pValue_doxorubicin_depression__children gender unspecified	Fishers Exact Test_pValue_doxorubicin_depression__young adults gender unspecified	Fishers Exact Test_pValue_doxorubicin_depression__adults gender unspecified	Fishers Exact Test_pValue_doxorubicin_depression__elderly gender unspecified	Fishers Exact Test_pValue_doxorubicin_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_doxorubicin_depression__children all	Fishers Exact Test_pValue_doxorubicin_depression__young adults all	Fishers Exact Test_pValue_doxorubicin_depression__adults all	Fishers Exact Test_pValue_doxorubicin_depression__elderly all	Fishers Exact Test_pValue_doxorubicin_depression__age unspecified all	Fishers Exact Test_pValue_doxorubicin_depression__males all	Fishers Exact Test_pValue_doxorubicin_depression__females all	Fishers Exact Test_pValue_doxorubicin_depression__gender unspecified all	Fishers Exact Test_pValue_doxorubicin_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_doxorubicin_depression__all	Absolute Counts_doxorubicin_depression__children males	Absolute Counts_doxorubicin_depression__young adult males	Absolute Counts_doxorubicin_depression__adult males	Absolute Counts_doxorubicin_depression__elderly males	Absolute Counts_doxorubicin_depression__age unspecified males	Absolute Counts_doxorubicin_depression__children females	Absolute Counts_doxorubicin_depression__young adult females	Absolute Counts_doxorubicin_depression__adult females	Absolute Counts_doxorubicin_depression__elderly females	Absolute Counts_doxorubicin_depression__age unspecified females	Absolute Counts_doxorubicin_depression__children gender unspecified	Absolute Counts_doxorubicin_depression__young adults gender unspecified	Absolute Counts_doxorubicin_depression__adults gender unspecified	Absolute Counts_doxorubicin_depression__elderly gender unspecified	Absolute Counts_doxorubicin_depression__age unspecified gender unspecified	Absolute Counts_doxorubicin_depression__children all	Absolute Counts_doxorubicin_depression__young adults all	Absolute Counts_doxorubicin_depression__adults all	Absolute Counts_doxorubicin_depression__elderly all	Absolute Counts_doxorubicin_depression__age unspecified all	Absolute Counts_doxorubicin_depression__males all	Absolute Counts_doxorubicin_depression__females all	Absolute Counts_doxorubicin_depression__gender unspecified all	Absolute Counts_doxorubicin_depression__all	
			Unique Patients:		1	0	130	80	29	0	1	361	285	63	0	0	0	2	40	1	1	491	367	132	240	710	42	992	1	0	130	80	29	0	1	361	285	63	0	0	0	2	40	1	1	491	367	132	240	710	42	992	1	0	130	80	29	0	1	361	285	63	0	0	0	2	40	1	1	491	367	132	240	710	42	992	
1	24	doxorubicin	left ventricular hypertrophy	5,945			1.31376E-34		4.59525E-02			5.98380E-09		2.95073E-02								3.63339E-38		5.67200E-03	9.85304E-28	1.40580E-07		1.06265E-29			1.05101E-33		5.36113E-02			1.91482E-08		2.95073E-02								5.81343E-37		8.25017E-03	3.94122E-27	3.74880E-07		5.66747E-29			16		1			6		1								22		2	17	7		24	
2	24	doxorubicin	cardiac failure	88,894			2.39426E-02		7.13289E-03			9.81025E-04	1.00000E00	1.75991E-01								1.02664E-04	1.00000E00	1.32747E-02	7.78391E-03	3.75670E-03		2.31439E-04			2.55387E-02		9.51052E-03			1.74404E-03	1.00000E00	1.75991E-01								2.34660E-04	1.00000E00	1.51711E-02	9.58020E-03	6.01073E-03		4.62879E-04			3		2			5	2	1								8	2	3	5	8		13	
