		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	
					escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram	escitalopram																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	escitalopram	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_escitalopram_depression__children males	Fishers Exact Test_pValue_escitalopram_depression__young adult males	Fishers Exact Test_pValue_escitalopram_depression__adult males	Fishers Exact Test_pValue_escitalopram_depression__elderly males	Fishers Exact Test_pValue_escitalopram_depression__age unspecified males	Fishers Exact Test_pValue_escitalopram_depression__children females	Fishers Exact Test_pValue_escitalopram_depression__young adult females	Fishers Exact Test_pValue_escitalopram_depression__adult females	Fishers Exact Test_pValue_escitalopram_depression__elderly females	Fishers Exact Test_pValue_escitalopram_depression__age unspecified females	Fishers Exact Test_pValue_escitalopram_depression__children gender unspecified	Fishers Exact Test_pValue_escitalopram_depression__young adults gender unspecified	Fishers Exact Test_pValue_escitalopram_depression__adults gender unspecified	Fishers Exact Test_pValue_escitalopram_depression__elderly gender unspecified	Fishers Exact Test_pValue_escitalopram_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_escitalopram_depression__children all	Fishers Exact Test_pValue_escitalopram_depression__young adults all	Fishers Exact Test_pValue_escitalopram_depression__adults all	Fishers Exact Test_pValue_escitalopram_depression__elderly all	Fishers Exact Test_pValue_escitalopram_depression__age unspecified all	Fishers Exact Test_pValue_escitalopram_depression__males all	Fishers Exact Test_pValue_escitalopram_depression__females all	Fishers Exact Test_pValue_escitalopram_depression__gender unspecified all	Fishers Exact Test_pValue_escitalopram_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_escitalopram_depression__all	Absolute Counts_escitalopram_depression__children males	Absolute Counts_escitalopram_depression__young adult males	Absolute Counts_escitalopram_depression__adult males	Absolute Counts_escitalopram_depression__elderly males	Absolute Counts_escitalopram_depression__age unspecified males	Absolute Counts_escitalopram_depression__children females	Absolute Counts_escitalopram_depression__young adult females	Absolute Counts_escitalopram_depression__adult females	Absolute Counts_escitalopram_depression__elderly females	Absolute Counts_escitalopram_depression__age unspecified females	Absolute Counts_escitalopram_depression__children gender unspecified	Absolute Counts_escitalopram_depression__young adults gender unspecified	Absolute Counts_escitalopram_depression__adults gender unspecified	Absolute Counts_escitalopram_depression__elderly gender unspecified	Absolute Counts_escitalopram_depression__age unspecified gender unspecified	Absolute Counts_escitalopram_depression__children all	Absolute Counts_escitalopram_depression__young adults all	Absolute Counts_escitalopram_depression__adults all	Absolute Counts_escitalopram_depression__elderly all	Absolute Counts_escitalopram_depression__age unspecified all	Absolute Counts_escitalopram_depression__males all	Absolute Counts_escitalopram_depression__females all	Absolute Counts_escitalopram_depression__gender unspecified all	Absolute Counts_escitalopram_depression__all	
			Unique Patients:		283	603	5,412	2,412	1,718	298	1,389	12,831	5,086	3,585	15	13	58	48	1,672	596	2,005	18,303	7,546	6,975	10,428	23,189	1,806	35,425	283	603	5,412	2,412	1,718	298	1,389	12,831	5,086	3,585	15	13	58	48	1,672	596	2,005	18,303	7,546	6,975	10,428	23,189	1,806	35,425	283	603	5,412	2,412	1,718	298	1,389	12,831	5,086	3,585	15	13	58	48	1,672	596	2,005	18,303	7,546	6,975	10,428	23,189	1,806	35,425	
1			cardiac failure	88,894	5.99793E-04	1.17211E-01	3.18637E-03	3.08202E-01	1.00000E00		7.14165E-01	6.06903E-01	1.27889E-05	1.74381E-02					5.17541E-02	8.19031E-02	7.46566E-01	1.08121E-01	1.86292E-03	9.86533E-03	1.27253E-01	7.56298E-05	5.70971E-02	9.99763E-03	1.26623E-03	1.17211E-01	4.32436E-03	3.08202E-01	1.00000E00		7.14165E-01	7.58629E-01	8.60844E-05	1.94897E-02					5.17541E-02	8.87211E-02	7.46566E-01	1.35151E-01	2.94962E-03	1.18722E-02	1.37042E-01	2.87393E-04	5.70971E-02	1.18722E-02	8	2	12	13	7		1	29	67	19					13	8	3	41	80	39	42	116	13	171	
