		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	
					fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine	fluoxetine																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	fluoxetine	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_fluoxetine_depression__children males	Fishers Exact Test_pValue_fluoxetine_depression__young adult males	Fishers Exact Test_pValue_fluoxetine_depression__adult males	Fishers Exact Test_pValue_fluoxetine_depression__elderly males	Fishers Exact Test_pValue_fluoxetine_depression__age unspecified males	Fishers Exact Test_pValue_fluoxetine_depression__children females	Fishers Exact Test_pValue_fluoxetine_depression__young adult females	Fishers Exact Test_pValue_fluoxetine_depression__adult females	Fishers Exact Test_pValue_fluoxetine_depression__elderly females	Fishers Exact Test_pValue_fluoxetine_depression__age unspecified females	Fishers Exact Test_pValue_fluoxetine_depression__children gender unspecified	Fishers Exact Test_pValue_fluoxetine_depression__young adults gender unspecified	Fishers Exact Test_pValue_fluoxetine_depression__adults gender unspecified	Fishers Exact Test_pValue_fluoxetine_depression__elderly gender unspecified	Fishers Exact Test_pValue_fluoxetine_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_fluoxetine_depression__children all	Fishers Exact Test_pValue_fluoxetine_depression__young adults all	Fishers Exact Test_pValue_fluoxetine_depression__adults all	Fishers Exact Test_pValue_fluoxetine_depression__elderly all	Fishers Exact Test_pValue_fluoxetine_depression__age unspecified all	Fishers Exact Test_pValue_fluoxetine_depression__males all	Fishers Exact Test_pValue_fluoxetine_depression__females all	Fishers Exact Test_pValue_fluoxetine_depression__gender unspecified all	Fishers Exact Test_pValue_fluoxetine_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_fluoxetine_depression__all	Absolute Counts_fluoxetine_depression__children males	Absolute Counts_fluoxetine_depression__young adult males	Absolute Counts_fluoxetine_depression__adult males	Absolute Counts_fluoxetine_depression__elderly males	Absolute Counts_fluoxetine_depression__age unspecified males	Absolute Counts_fluoxetine_depression__children females	Absolute Counts_fluoxetine_depression__young adult females	Absolute Counts_fluoxetine_depression__adult females	Absolute Counts_fluoxetine_depression__elderly females	Absolute Counts_fluoxetine_depression__age unspecified females	Absolute Counts_fluoxetine_depression__children gender unspecified	Absolute Counts_fluoxetine_depression__young adults gender unspecified	Absolute Counts_fluoxetine_depression__adults gender unspecified	Absolute Counts_fluoxetine_depression__elderly gender unspecified	Absolute Counts_fluoxetine_depression__age unspecified gender unspecified	Absolute Counts_fluoxetine_depression__children all	Absolute Counts_fluoxetine_depression__young adults all	Absolute Counts_fluoxetine_depression__adults all	Absolute Counts_fluoxetine_depression__elderly all	Absolute Counts_fluoxetine_depression__age unspecified all	Absolute Counts_fluoxetine_depression__males all	Absolute Counts_fluoxetine_depression__females all	Absolute Counts_fluoxetine_depression__gender unspecified all	Absolute Counts_fluoxetine_depression__all	
			Unique Patients:		421	852	4,539	1,535	1,433	446	1,850	12,781	3,403	3,870	111	19	84	23	1,766	978	2,721	17,405	4,961	7,069	8,780	22,350	2,003	33,134	421	852	4,539	1,535	1,433	446	1,850	12,781	3,403	3,870	111	19	84	23	1,766	978	2,721	17,405	4,961	7,069	8,780	22,350	2,003	33,134	421	852	4,539	1,535	1,433	446	1,850	12,781	3,403	3,870	111	19	84	23	1,766	978	2,721	17,405	4,961	7,069	8,780	22,350	2,003	33,134	
1	24	fluoxetine	ventricular hypertrophy	4,360			2.94398E-01	4.01234E-01	2.55491E-01	4.19161E-01		8.86860E-02	3.59000E-02	5.32534E-01	NaN					1.80106E-01		1.06435E-01	2.77982E-02	3.57185E-01	6.44424E-01	9.54097E-02	NaN	9.37162E-02			5.48548E-01	6.01851E-01	3.83237E-01	4.19161E-01		8.86860E-02	7.18000E-02	7.10045E-01	NaN					2.40141E-01		1.33044E-01	3.57405E-02	4.16715E-01	6.44424E-01	1.11311E-01	NaN	1.05431E-01			9	1	3	2		7	5	4	2					4		16	6	7	13	18	2	33	
2			cardiac failure	88,894	3.58151E-01	2.08198E-01	3.65699E-01	6.39236E-01	6.04294E-02		5.11391E-01	1.87320E-03	2.22873E-01	9.22332E-02					1.86735E-01	8.31683E-03	2.47551E-01	1.27697E-03	1.72387E-01	3.56689E-01	5.82078E-01	6.48937E-06	1.04940E-01	1.07133E-05	3.58151E-01	2.08198E-01	5.48548E-01	6.39236E-01	1.81288E-01		5.11391E-01	3.37176E-03	2.97164E-01	1.84466E-01					1.86735E-01	1.24753E-02	2.47551E-01	2.87318E-03	2.06864E-01	4.16715E-01	6.44424E-01	4.82098E-05	1.04940E-01	4.82098E-05	1	2	17	9	11		4	12	20	6					4	1	6	29	29	21	40	42	4	86	
