		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	
					paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine	paroxetine																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	paroxetine	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_paroxetine_depression__children males	Fishers Exact Test_pValue_paroxetine_depression__young adult males	Fishers Exact Test_pValue_paroxetine_depression__adult males	Fishers Exact Test_pValue_paroxetine_depression__elderly males	Fishers Exact Test_pValue_paroxetine_depression__age unspecified males	Fishers Exact Test_pValue_paroxetine_depression__children females	Fishers Exact Test_pValue_paroxetine_depression__young adult females	Fishers Exact Test_pValue_paroxetine_depression__adult females	Fishers Exact Test_pValue_paroxetine_depression__elderly females	Fishers Exact Test_pValue_paroxetine_depression__age unspecified females	Fishers Exact Test_pValue_paroxetine_depression__children gender unspecified	Fishers Exact Test_pValue_paroxetine_depression__young adults gender unspecified	Fishers Exact Test_pValue_paroxetine_depression__adults gender unspecified	Fishers Exact Test_pValue_paroxetine_depression__elderly gender unspecified	Fishers Exact Test_pValue_paroxetine_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_paroxetine_depression__children all	Fishers Exact Test_pValue_paroxetine_depression__young adults all	Fishers Exact Test_pValue_paroxetine_depression__adults all	Fishers Exact Test_pValue_paroxetine_depression__elderly all	Fishers Exact Test_pValue_paroxetine_depression__age unspecified all	Fishers Exact Test_pValue_paroxetine_depression__males all	Fishers Exact Test_pValue_paroxetine_depression__females all	Fishers Exact Test_pValue_paroxetine_depression__gender unspecified all	Fishers Exact Test_pValue_paroxetine_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_paroxetine_depression__all	Absolute Counts_paroxetine_depression__children males	Absolute Counts_paroxetine_depression__young adult males	Absolute Counts_paroxetine_depression__adult males	Absolute Counts_paroxetine_depression__elderly males	Absolute Counts_paroxetine_depression__age unspecified males	Absolute Counts_paroxetine_depression__children females	Absolute Counts_paroxetine_depression__young adult females	Absolute Counts_paroxetine_depression__adult females	Absolute Counts_paroxetine_depression__elderly females	Absolute Counts_paroxetine_depression__age unspecified females	Absolute Counts_paroxetine_depression__children gender unspecified	Absolute Counts_paroxetine_depression__young adults gender unspecified	Absolute Counts_paroxetine_depression__adults gender unspecified	Absolute Counts_paroxetine_depression__elderly gender unspecified	Absolute Counts_paroxetine_depression__age unspecified gender unspecified	Absolute Counts_paroxetine_depression__children all	Absolute Counts_paroxetine_depression__young adults all	Absolute Counts_paroxetine_depression__adults all	Absolute Counts_paroxetine_depression__elderly all	Absolute Counts_paroxetine_depression__age unspecified all	Absolute Counts_paroxetine_depression__males all	Absolute Counts_paroxetine_depression__females all	Absolute Counts_paroxetine_depression__gender unspecified all	Absolute Counts_paroxetine_depression__all	
			Unique Patients:		1,297	484	4,994	1,938	2,663	1,061	847	9,779	4,373	4,139	76	4	70	24	1,230	2,434	1,335	14,843	6,335	8,032	11,376	20,199	1,404	32,979	1,297	484	4,994	1,938	2,663	1,061	847	9,779	4,373	4,139	76	4	70	24	1,230	2,434	1,335	14,843	6,335	8,032	11,376	20,199	1,404	32,979	1,297	484	4,994	1,938	2,663	1,061	847	9,779	4,373	4,139	76	4	70	24	1,230	2,434	1,335	14,843	6,335	8,032	11,376	20,199	1,404	32,979	
1			cardiac failure	88,894	7.43599E-02		6.50920E-02	1.62004E-01	1.91253E-07	8.15322E-06		1.99703E-01	5.25897E-01	8.35357E-07					1.00000E00	6.87197E-06		8.72748E-01	2.22185E-01	1.03319E-10	4.03785E-03	1.15320E-07	8.32909E-01	3.81313E-09	7.43599E-02		7.81104E-02	1.62004E-01	3.71257E-07	1.16981E-05		2.39644E-01	5.25897E-01	1.45088E-06					1.00000E00	1.07988E-05		8.72748E-01	2.33878E-01	2.84128E-10	4.44164E-03	2.37847E-07	8.32909E-01	8.38889E-09	14		15	19	31	21		26	37	32					5	35		41	56	68	79	116	5	200	
2	24	paroxetine	ventricular hypertrophy	4,360	3.82118E-07		1.00000E00	1.23539E-01	5.04807E-16	8.72168E-10		7.57222E-01		1.12562E-11						1.01504E-14		7.30021E-01	7.65036E-01	3.02361E-27	1.63115E-18	2.91660E-19		1.45722E-37	7.00550E-07		1.00000E00	1.54424E-01	2.08233E-15	2.21397E-09		7.57222E-01		3.37686E-11						3.72182E-14		7.68443E-01	7.65036E-01	3.32597E-26	7.68973E-18	1.60413E-18		4.80884E-36	24		7	2	22	26		3		19						50		10	2	41	55	48		103	
