				Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
				pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
				depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02																									
																												depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
				children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																												children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_depression__children males	Fishers Exact Test_pValue_depression__young adult males	Fishers Exact Test_pValue_depression__adult males	Fishers Exact Test_pValue_depression__elderly males	Fishers Exact Test_pValue_depression__age unspecified males	Fishers Exact Test_pValue_depression__children females	Fishers Exact Test_pValue_depression__young adult females	Fishers Exact Test_pValue_depression__adult females	Fishers Exact Test_pValue_depression__elderly females	Fishers Exact Test_pValue_depression__age unspecified females	Fishers Exact Test_pValue_depression__children gender unspecified	Fishers Exact Test_pValue_depression__young adults gender unspecified	Fishers Exact Test_pValue_depression__adults gender unspecified	Fishers Exact Test_pValue_depression__elderly gender unspecified	Fishers Exact Test_pValue_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_depression__children all	Fishers Exact Test_pValue_depression__young adults all	Fishers Exact Test_pValue_depression__adults all	Fishers Exact Test_pValue_depression__elderly all	Fishers Exact Test_pValue_depression__age unspecified all	Fishers Exact Test_pValue_depression__males all	Fishers Exact Test_pValue_depression__females all	Fishers Exact Test_pValue_depression__gender unspecified all	Fishers Exact Test_pValue_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_depression__all	Absolute Counts_depression__children males	Absolute Counts_depression__young adult males	Absolute Counts_depression__adult males	Absolute Counts_depression__elderly males	Absolute Counts_depression__age unspecified males	Absolute Counts_depression__children females	Absolute Counts_depression__young adult females	Absolute Counts_depression__adult females	Absolute Counts_depression__elderly females	Absolute Counts_depression__age unspecified females	Absolute Counts_depression__children gender unspecified	Absolute Counts_depression__young adults gender unspecified	Absolute Counts_depression__adults gender unspecified	Absolute Counts_depression__elderly gender unspecified	Absolute Counts_depression__age unspecified gender unspecified	Absolute Counts_depression__children all	Absolute Counts_depression__young adults all	Absolute Counts_depression__adults all	Absolute Counts_depression__elderly all	Absolute Counts_depression__age unspecified all	Absolute Counts_depression__males all	Absolute Counts_depression__females all	Absolute Counts_depression__gender unspecified all	Absolute Counts_depression__all	
		Unique Patients:		4,365	5,939	54,268	21,730	22,842	3,495	11,743	125,636	47,156	46,317	361	180	1,080	463	17,230	8,221	17,863	180,989	69,349	86,389	109,144	234,347	19,314	362,811	4,365	5,939	54,268	21,730	22,842	3,495	11,743	125,636	47,156	46,317	361	180	1,080	463	17,230	8,221	17,863	180,989	69,349	86,389	109,144	234,347	19,314	362,811	4,365	5,939	54,268	21,730	22,842	3,495	11,743	125,636	47,156	46,317	361	180	1,080	463	17,230	8,221	17,863	180,989	69,349	86,389	109,144	234,347	19,314	362,811	
1		left ventricular hypertrophy	5,945	3.59486E-18	7.28448E-01	1.00000E00	2.31345E-02	2.55136E-21	8.42207E-33	4.30715E-01	3.36707E-03	8.18201E-01	1.68908E-06	2.21068E-07				1.59871E-07	3.51745E-54	7.72770E-01	1.18417E-01	2.64074E-01	1.43162E-29	1.49872E-11	3.53703E-15	1.92910E-11	2.03743E-30	7.18972E-18	7.28448E-01	1.00000E00	3.84556E-02	1.02054E-20	3.36883E-32	7.33831E-01	6.73414E-03	8.73966E-01	3.37816E-06	4.42136E-07				3.19742E-07	1.40698E-53	7.72770E-01	1.31991E-01	2.64074E-01	2.86323E-29	2.99744E-11	7.07406E-15	5.78730E-11	4.07485E-30	24	1	31	3	37	35	1	48	20	22	6				14	65	2	79	23	73	96	126	20	242	
2		ventricular hypertrophy	4,360	1.51192E-27		1.97895E-16	1.00000E00	7.99818E-17	5.00083E-22		1.14522E-02	1.28624E-03	3.04825E-23	8.68208E-03					4.14215E-49		3.39294E-13	1.01385E-02	2.06798E-35	4.13354E-44	1.09996E-27	3.14060E-01	1.53444E-68	6.04767E-27		7.91580E-16	1.00000E00	1.59964E-16	1.00017E-21		1.52696E-02	5.14495E-03	1.21930E-22	8.68208E-03					8.28429E-49		1.35718E-12	1.35179E-02	8.27192E-35	1.65342E-43	4.39985E-27	3.14060E-01	6.13775E-68	33		76	7	28	31		36	26	35	2					66		112	33	63	144	128	2	274	
3		cardiac failure	88,894	7.00512E-05	9.52293E-03	3.98177E-01	1.98840E-06	2.17715E-01	6.82382E-05	7.33831E-01	3.87658E-05	8.73966E-01	3.45620E-03			5.56330E-01	3.79724E-01	2.70827E-02	5.44888E-08	3.51073E-02	7.17697E-04	1.14397E-04	1.67674E-03	3.52764E-03	9.42301E-02	7.65795E-02	3.94588E-04	7.00512E-05	1.90459E-02	5.68834E-01	7.95358E-06	2.90287E-01	9.09843E-05	7.33831E-01	1.55063E-04	8.73966E-01	4.60826E-03			5.56330E-01	3.79724E-01	2.70827E-02	7.26517E-08	7.02146E-02	1.43539E-03	4.57588E-04	2.23566E-03	4.70353E-03	9.42301E-02	1.14869E-01	5.26118E-04	31	6	256	158	100	30	18	259	364	142			4	1	78	61	24	519	523	320	551	813	83	1,447	
