		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	
					sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline	sertraline																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	sertraline	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_sertraline_depression__children males	Fishers Exact Test_pValue_sertraline_depression__young adult males	Fishers Exact Test_pValue_sertraline_depression__adult males	Fishers Exact Test_pValue_sertraline_depression__elderly males	Fishers Exact Test_pValue_sertraline_depression__age unspecified males	Fishers Exact Test_pValue_sertraline_depression__children females	Fishers Exact Test_pValue_sertraline_depression__young adult females	Fishers Exact Test_pValue_sertraline_depression__adult females	Fishers Exact Test_pValue_sertraline_depression__elderly females	Fishers Exact Test_pValue_sertraline_depression__age unspecified females	Fishers Exact Test_pValue_sertraline_depression__children gender unspecified	Fishers Exact Test_pValue_sertraline_depression__young adults gender unspecified	Fishers Exact Test_pValue_sertraline_depression__adults gender unspecified	Fishers Exact Test_pValue_sertraline_depression__elderly gender unspecified	Fishers Exact Test_pValue_sertraline_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_sertraline_depression__children all	Fishers Exact Test_pValue_sertraline_depression__young adults all	Fishers Exact Test_pValue_sertraline_depression__adults all	Fishers Exact Test_pValue_sertraline_depression__elderly all	Fishers Exact Test_pValue_sertraline_depression__age unspecified all	Fishers Exact Test_pValue_sertraline_depression__males all	Fishers Exact Test_pValue_sertraline_depression__females all	Fishers Exact Test_pValue_sertraline_depression__gender unspecified all	Fishers Exact Test_pValue_sertraline_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_sertraline_depression__all	Absolute Counts_sertraline_depression__children males	Absolute Counts_sertraline_depression__young adult males	Absolute Counts_sertraline_depression__adult males	Absolute Counts_sertraline_depression__elderly males	Absolute Counts_sertraline_depression__age unspecified males	Absolute Counts_sertraline_depression__children females	Absolute Counts_sertraline_depression__young adult females	Absolute Counts_sertraline_depression__adult females	Absolute Counts_sertraline_depression__elderly females	Absolute Counts_sertraline_depression__age unspecified females	Absolute Counts_sertraline_depression__children gender unspecified	Absolute Counts_sertraline_depression__young adults gender unspecified	Absolute Counts_sertraline_depression__adults gender unspecified	Absolute Counts_sertraline_depression__elderly gender unspecified	Absolute Counts_sertraline_depression__age unspecified gender unspecified	Absolute Counts_sertraline_depression__children all	Absolute Counts_sertraline_depression__young adults all	Absolute Counts_sertraline_depression__adults all	Absolute Counts_sertraline_depression__elderly all	Absolute Counts_sertraline_depression__age unspecified all	Absolute Counts_sertraline_depression__males all	Absolute Counts_sertraline_depression__females all	Absolute Counts_sertraline_depression__gender unspecified all	Absolute Counts_sertraline_depression__all	
			Unique Patients:		952	1,093	7,452	3,462	2,704	752	2,722	17,209	6,986	5,551	61	39	131	113	3,143	1,765	3,854	24,793	10,561	11,398	15,663	33,220	3,487	52,371	952	1,093	7,452	3,462	2,704	752	2,722	17,209	6,986	5,551	61	39	131	113	3,143	1,765	3,854	24,793	10,561	11,398	15,663	33,220	3,487	52,371	952	1,093	7,452	3,462	2,704	752	2,722	17,209	6,986	5,551	61	39	131	113	3,143	1,765	3,854	24,793	10,561	11,398	15,663	33,220	3,487	52,371	
1	24	sertraline	left ventricular hypertrophy	5,945	6.28171E-01	NaN	1.10699E-04	4.05869E-01	2.84399E-03	1.94804E-08		3.30781E-02	3.45052E-01	9.94007E-05						2.64091E-05	3.84966E-01	4.23762E-05	5.63890E-01	3.88105E-04	2.57584E-06	3.75764E-10		2.54025E-12	6.28171E-01	NaN	1.78349E-04	4.87042E-01	4.12378E-03	1.12986E-07		3.42595E-02	3.45052E-01	1.69566E-04						5.89126E-05	3.84966E-01	8.19274E-05	5.63890E-01	5.92371E-04	7.46993E-06	2.72429E-09		3.68336E-11	6	1	13	1	11	23		12	1	10						29	1	25	2	21	32	46		78	
2			cardiac failure	88,894	2.88316E-02		1.36931E-17	1.26961E-01	2.12242E-01	2.65148E-01	2.77153E-01	2.33329E-02	1.19393E-01	2.51896E-05					1.74606E-02	1.82268E-02	1.39031E-01	9.88819E-07	2.35882E-02	1.20523E-06	3.35275E-10	8.01132E-01	3.06481E-02	9.42276E-06	8.64948E-02		3.97101E-16	1.90442E-01	2.12242E-01	3.03026E-01	2.77153E-01	2.63100E-02	1.32659E-01	5.89126E-05					2.20155E-02	2.20240E-02	1.48962E-01	3.58447E-06	2.63100E-02	3.88352E-06	2.72429E-09	8.33178E-01	3.29183E-02	2.48418E-05	12		89	18	16	9	2	23	43	35					23	21	2	112	61	74	135	112	23	270	
