		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	
					trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone	trazodone																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	trazodone	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_trazodone_depression__children males	Fishers Exact Test_pValue_trazodone_depression__young adult males	Fishers Exact Test_pValue_trazodone_depression__adult males	Fishers Exact Test_pValue_trazodone_depression__elderly males	Fishers Exact Test_pValue_trazodone_depression__age unspecified males	Fishers Exact Test_pValue_trazodone_depression__children females	Fishers Exact Test_pValue_trazodone_depression__young adult females	Fishers Exact Test_pValue_trazodone_depression__adult females	Fishers Exact Test_pValue_trazodone_depression__elderly females	Fishers Exact Test_pValue_trazodone_depression__age unspecified females	Fishers Exact Test_pValue_trazodone_depression__children gender unspecified	Fishers Exact Test_pValue_trazodone_depression__young adults gender unspecified	Fishers Exact Test_pValue_trazodone_depression__adults gender unspecified	Fishers Exact Test_pValue_trazodone_depression__elderly gender unspecified	Fishers Exact Test_pValue_trazodone_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_trazodone_depression__children all	Fishers Exact Test_pValue_trazodone_depression__young adults all	Fishers Exact Test_pValue_trazodone_depression__adults all	Fishers Exact Test_pValue_trazodone_depression__elderly all	Fishers Exact Test_pValue_trazodone_depression__age unspecified all	Fishers Exact Test_pValue_trazodone_depression__males all	Fishers Exact Test_pValue_trazodone_depression__females all	Fishers Exact Test_pValue_trazodone_depression__gender unspecified all	Fishers Exact Test_pValue_trazodone_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_trazodone_depression__all	Absolute Counts_trazodone_depression__children males	Absolute Counts_trazodone_depression__young adult males	Absolute Counts_trazodone_depression__adult males	Absolute Counts_trazodone_depression__elderly males	Absolute Counts_trazodone_depression__age unspecified males	Absolute Counts_trazodone_depression__children females	Absolute Counts_trazodone_depression__young adult females	Absolute Counts_trazodone_depression__adult females	Absolute Counts_trazodone_depression__elderly females	Absolute Counts_trazodone_depression__age unspecified females	Absolute Counts_trazodone_depression__children gender unspecified	Absolute Counts_trazodone_depression__young adults gender unspecified	Absolute Counts_trazodone_depression__adults gender unspecified	Absolute Counts_trazodone_depression__elderly gender unspecified	Absolute Counts_trazodone_depression__age unspecified gender unspecified	Absolute Counts_trazodone_depression__children all	Absolute Counts_trazodone_depression__young adults all	Absolute Counts_trazodone_depression__adults all	Absolute Counts_trazodone_depression__elderly all	Absolute Counts_trazodone_depression__age unspecified all	Absolute Counts_trazodone_depression__males all	Absolute Counts_trazodone_depression__females all	Absolute Counts_trazodone_depression__gender unspecified all	Absolute Counts_trazodone_depression__all	
			Unique Patients:		89	202	3,467	1,363	946	114	411	8,900	2,971	2,244	5	5	35	15	953	208	618	12,402	4,349	4,143	6,067	14,640	1,013	21,720	89	202	3,467	1,363	946	114	411	8,900	2,971	2,244	5	5	35	15	953	208	618	12,402	4,349	4,143	6,067	14,640	1,013	21,720	89	202	3,467	1,363	946	114	411	8,900	2,971	2,244	5	5	35	15	953	208	618	12,402	4,349	4,143	6,067	14,640	1,013	21,720	
1			cardiac failure	88,894			1.40696E-02	1.94876E-02	7.00563E-02	1.52864E-02		3.91849E-02	1.57958E-01	8.45511E-01					3.95707E-02	6.80358E-02		6.34042E-04	1.08858E-02	3.43226E-02	1.51915E-02	4.94655E-02	4.08978E-02	1.05644E-02			5.19669E-02	5.19669E-02	1.16760E-01	5.19669E-02		5.87773E-02	2.36937E-01	8.45511E-01					7.91413E-02	1.08857E-01		5.07233E-03	2.90287E-02	5.72043E-02	3.03829E-02	7.41982E-02	6.54364E-02	2.90287E-02			7	3	8	4		10	16	7					9	4		17	19	24	18	37	9	64	
