		Cohort 1			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	
		Known drug-Adverse Events relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	
					venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	
					depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine	venlafaxine																									
																													depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	depression	children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all	
					children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																																																	
																													children males	young adult males	adult males	elderly males	age unspecified males	children females	young adult females	adult females	elderly females	age unspecified females	children gender unspecified	young adults gender unspecified	adults gender unspecified	elderly gender unspecified	age unspecified gender unspecified	children all	young adults all	adults all	elderly all	age unspecified all	males all	females all	gender unspecified all	all																									
Rank	Known Drug Reactions	venlafaxine	Adverse Events	Total_Adverse Events_Reports	Fishers Exact Test_pValue_venlafaxine_depression__children males	Fishers Exact Test_pValue_venlafaxine_depression__young adult males	Fishers Exact Test_pValue_venlafaxine_depression__adult males	Fishers Exact Test_pValue_venlafaxine_depression__elderly males	Fishers Exact Test_pValue_venlafaxine_depression__age unspecified males	Fishers Exact Test_pValue_venlafaxine_depression__children females	Fishers Exact Test_pValue_venlafaxine_depression__young adult females	Fishers Exact Test_pValue_venlafaxine_depression__adult females	Fishers Exact Test_pValue_venlafaxine_depression__elderly females	Fishers Exact Test_pValue_venlafaxine_depression__age unspecified females	Fishers Exact Test_pValue_venlafaxine_depression__children gender unspecified	Fishers Exact Test_pValue_venlafaxine_depression__young adults gender unspecified	Fishers Exact Test_pValue_venlafaxine_depression__adults gender unspecified	Fishers Exact Test_pValue_venlafaxine_depression__elderly gender unspecified	Fishers Exact Test_pValue_venlafaxine_depression__age unspecified gender unspecified	Fishers Exact Test_pValue_venlafaxine_depression__children all	Fishers Exact Test_pValue_venlafaxine_depression__young adults all	Fishers Exact Test_pValue_venlafaxine_depression__adults all	Fishers Exact Test_pValue_venlafaxine_depression__elderly all	Fishers Exact Test_pValue_venlafaxine_depression__age unspecified all	Fishers Exact Test_pValue_venlafaxine_depression__males all	Fishers Exact Test_pValue_venlafaxine_depression__females all	Fishers Exact Test_pValue_venlafaxine_depression__gender unspecified all	Fishers Exact Test_pValue_venlafaxine_depression__all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__children males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__young adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__adult males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__elderly males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__age unspecified males	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__children females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__young adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__adult females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__elderly females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__age unspecified females	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__children gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__young adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__adults gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__elderly gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__age unspecified gender unspecified	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__children all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__young adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__adults all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__elderly all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__age unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__males all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__females all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__gender unspecified all	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_venlafaxine_depression__all	Absolute Counts_venlafaxine_depression__children males	Absolute Counts_venlafaxine_depression__young adult males	Absolute Counts_venlafaxine_depression__adult males	Absolute Counts_venlafaxine_depression__elderly males	Absolute Counts_venlafaxine_depression__age unspecified males	Absolute Counts_venlafaxine_depression__children females	Absolute Counts_venlafaxine_depression__young adult females	Absolute Counts_venlafaxine_depression__adult females	Absolute Counts_venlafaxine_depression__elderly females	Absolute Counts_venlafaxine_depression__age unspecified females	Absolute Counts_venlafaxine_depression__children gender unspecified	Absolute Counts_venlafaxine_depression__young adults gender unspecified	Absolute Counts_venlafaxine_depression__adults gender unspecified	Absolute Counts_venlafaxine_depression__elderly gender unspecified	Absolute Counts_venlafaxine_depression__age unspecified gender unspecified	Absolute Counts_venlafaxine_depression__children all	Absolute Counts_venlafaxine_depression__young adults all	Absolute Counts_venlafaxine_depression__adults all	Absolute Counts_venlafaxine_depression__elderly all	Absolute Counts_venlafaxine_depression__age unspecified all	Absolute Counts_venlafaxine_depression__males all	Absolute Counts_venlafaxine_depression__females all	Absolute Counts_venlafaxine_depression__gender unspecified all	Absolute Counts_venlafaxine_depression__all	
			Unique Patients:		383	564	6,860	2,376	1,975	353	1,076	16,950	5,398	4,646	25	15	101	41	1,984	761	1,655	23,911	7,815	8,605	12,158	28,423	2,166	42,747	383	564	6,860	2,376	1,975	353	1,076	16,950	5,398	4,646	25	15	101	41	1,984	761	1,655	23,911	7,815	8,605	12,158	28,423	2,166	42,747	383	564	6,860	2,376	1,975	353	1,076	16,950	5,398	4,646	25	15	101	41	1,984	761	1,655	23,911	7,815	8,605	12,158	28,423	2,166	42,747	
1	24	venlafaxine	left ventricular hypertrophy	5,945	1.53839E-01		8.37979E-06		3.68904E-02	3.93091E-01	NaN	1.44165E-06	4.93554E-01	2.70926E-01					6.71319E-01	1.95813E-01	1.76720E-01	6.82920E-11	7.39073E-01	3.15697E-02	4.97502E-05	1.45530E-05	1.00000E00	1.95734E-08	4.61517E-01		3.18432E-05		7.37808E-02	3.93091E-01	NaN	6.84782E-06	5.64061E-01	3.61234E-01					6.71319E-01	2.20289E-01	1.76720E-01	1.29755E-09	7.39073E-01	3.52838E-02	1.18157E-04	4.60846E-05	1.00000E00	1.23965E-07	4		14		7	5	1	20	3	4					2	9	1	34	3	13	25	33	2	60	
2			cardiac failure	88,894	7.49892E-01	4.50616E-01	2.58071E-01	1.57590E-01	3.72393E-01		4.12741E-03	2.05713E-10	4.78125E-03	4.02729E-01			4.58525E-02		4.75045E-01	3.70741E-01	4.87495E-03	3.96632E-05	1.44518E-01	1.89686E-01	7.34127E-01	1.32986E-02	2.18991E-01	2.20741E-02	7.49892E-01	4.50616E-01	3.44094E-01	1.57590E-01	3.72393E-01		7.71867E-03	1.95427E-09	7.71867E-03	4.60261E-01			6.11366E-02		5.42909E-01	3.70741E-01	7.71867E-03	1.07657E-04	1.83932E-01	2.21300E-01	8.47070E-01	1.94364E-02	2.32678E-01	2.79606E-02	3	1	26	23	11		6	74	25	17			2		11	3	7	102	48	39	64	122	13	199	
